77.75.79.109 - - [29/Aug/2022:01:06:18 +0100] "GET /robots.txt HTTP/1.1" 404 341 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
77.75.79.109 - - [29/Aug/2022:01:06:19 +0100] "GET /files/CSFED_1975.pdf HTTP/1.1" 200 43347 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
77.75.79.109 - - [29/Aug/2022:01:06:19 +0100] "GET /1991---jersey.html HTTP/1.1" 200 15254 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
66.249.66.222 - - [29/Aug/2022:01:12:20 +0100] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.79 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
156.146.63.157 - - [29/Aug/2022:01:19:18 +0100] "GET /.env HTTP/1.1" 404 341 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
85.208.98.196 - - [29/Aug/2022:02:24:31 +0100] "GET /robots.txt HTTP/1.1" 404 341 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; SiteAuditBot/0.97; +http://www.semrush.com/bot.html)"
85.208.98.192 - - [29/Aug/2022:02:24:31 +0100] "GET / HTTP/1.1" 200 20706 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; SiteAuditBot/0.97; +http://www.semrush.com/bot.html)"
154.16.192.24 - - [29/Aug/2022:02:52:28 +0100] "GET /.env HTTP/1.1" 404 341 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
114.119.153.211 - - [29/Aug/2022:04:17:54 +0100] "GET /files/1997-Stnd-Pistol-Prs.pdf HTTP/1.1" 200 30561 "http://www.csfed.org/1997---gibraltar.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
45.12.145.174 - - [29/Aug/2022:04:30:14 +0100] "GET / HTTP/1.1" 200 20706 "" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
51.158.169.2 - - [29/Aug/2022:04:39:26 +0100] "GET / HTTP/1.1" 200 20706 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36"
114.119.142.236 - - [29/Aug/2022:05:01:10 +0100] "GET /robots.txt HTTP/1.1" 404 341 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.153.20 - - [29/Aug/2022:05:13:11 +0100] "GET /files/1997-Stnd-Pistol-Indv.pdf HTTP/1.1" 200 37202 "http://www.csfed.org/1997---gibraltar.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.153.209 - - [29/Aug/2022:05:26:40 +0100] "GET / HTTP/1.1" 200 3872 "http://www.oxvideos.xyz/www-bangalisexmovies-downlode-com" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.153.220 - - [29/Aug/2022:05:38:59 +0100] "GET /1976---wales.html HTTP/1.1" 200 15240 "http://csfed.org/2007---jersey.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
156.146.63.157 - - [29/Aug/2022:05:41:28 +0100] "GET /.env HTTP/1.1" 404 341 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
156.146.63.157 - - [29/Aug/2022:05:41:31 +0100] "POST / HTTP/1.1" 200 20706 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
156.146.63.157 - - [29/Aug/2022:05:41:29 +0100] "POST / HTTP/1.1" 200 20706 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
